koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_impact_err1,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_teq,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err2,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,dec,koi_kepmag,koi_predicted
0,0,0,0,119.0207044,-0.0001179,0.076,0.17300000000000001,0.0382,-0.0382,7430.5,38.4,-38.4,8.98,366,1.58,-1.34,223.5,5453,-73,0.14400000000000002,-0.10800000000000001,1.062,0.146,-0.16,42.368159999999996,15.085,FALSE POSITIVE
0,0,0,0,3.96996298,-1.4000000000000001e-05,0.836,0.10099999999999999,0.09699999999999999,-0.09699999999999999,299.2,24.5,-24.5,1.78,992,41.51,-50.3,15.0,5121,-84,0.091,-0.039,0.888,0.049,-0.077,43.363898999999996,15.193,FALSE POSITIVE
0,0,0,0,2.6888992330000003,-1.9e-07,0.001,0.061,0.0025399999999999997,-0.0025399999999999997,37492.0,44.0,-44.0,12.04,929,66.28,-39.88,1011.6,4820,-144,0.027000000000000003,-0.063,0.639,0.07200000000000001,-0.042,42.967869,15.765999999999998,FALSE POSITIVE
0,0,0,0,83.92494032,-8e-05,0.6579999999999999,0.031,0.0748,-0.0748,7958.7,54.8,-54.8,4.78,226,0.18,-0.18,182.1,3960,-130,0.045,-0.04,0.509,0.036000000000000004,-0.05,43.897991,15.754000000000001,FALSE POSITIVE
0,0,0,0,13.81020318,-2.97e-05,0.7909999999999999,0.033,0.0635,-0.0635,1309.7,31.5,-31.5,4.56,833,99.51,-49.06,46.2,5942,-193,0.136,-0.187,1.1420000000000001,0.33299999999999996,-0.222,43.703109999999995,15.425,FALSE POSITIVE
0,0,0,0,3.8866552239999996,-7.82e-06,0.649,0.053,0.0604,-0.0604,581.6,13.9,-13.9,1.87,1010,141.54,-59.99,48.1,5662,-153,0.032,-0.12,0.738,0.14,-0.06,44.60751,15.370999999999999,FALSE POSITIVE
0,0,0,0,39.4759093,-0.0001317,0.938,0.011000000000000001,0.146,-0.146,1012.6,42.8,-42.8,4.06,577,24.8,-8.31,26.6,6225,-237,0.054000000000000006,-0.21600000000000003,1.031,0.332,-0.111,45.244389,15.229000000000001,FALSE POSITIVE
0,0,0,0,102.9641952,-0.0005766,0.922,0.005,0.263,-0.263,1896.7,27.3,-27.3,39.0,797,8.7,-47.04,86.1,5047,-160,0.033,-0.027000000000000003,7.119,0.201,-1.713,46.781509,13.607999999999999,FALSE POSITIVE
0,0,0,0,90.1240507,-0.0004433,0.698,0.079,0.28,-0.28,3020.3,57.5,-57.5,7.12,485,13.03,-4.26,57.9,6520,-248,0.055999999999999994,-0.22399999999999998,1.215,0.41,-0.13699999999999998,38.033581,14.96,FALSE POSITIVE
0,0,0,0,0.689210173,-4.5e-07,0.154,0.271,0.0179,-0.0179,195.0,2.4,-2.4,1.32,1943,1364.69,-528.86,93.4,5630,-122,0.023,-0.128,0.9540000000000001,0.138,-0.039,47.469959,13.248,FALSE POSITIVE
0,0,0,0,13.11896244,-6.04e-06,0.042,0.271,0.0122,-0.0122,372.2,1.5,-1.5,8.25,1768,419.83,-1290.11,267.4,7221,-171,0.272,-0.048,4.24,0.22699999999999998,-1.284,48.542221000000005,9.275,FALSE POSITIVE
0,0,0,0,53.5057611,-0.00015959999999999998,0.46,0.002,0.077,-0.077,195.6,3.1,-3.1,2.52,675,9.16,-6.52,71.2,6247,-69,0.03,-0.027000000000000003,1.7619999999999998,0.11199999999999999,-0.084,45.988079,9.582,FALSE POSITIVE
0,0,0,0,6.79685353,-2.25e-05,0.62,0.33,0.0835,-0.0835,393.1,14.9,-14.9,2.01,985,206.66,-65.9,29.8,6061,-198,0.05,-0.2,0.97,0.3,-0.1,41.451801,15.390999999999998,FALSE POSITIVE
0,0,0,0,13.4471791,-1.25e-05,0.963,0.013000000000000001,0.0546,-0.0546,1428.2,21.1,-21.1,5.24,848,112.28,-42.14,105.3,6276,-206,0.087,-0.203,1.041,0.326,-0.14,37.630959000000004,14.0,FALSE POSITIVE
0,0,0,0,1.353771892,-3.75e-06,1.203,0.56,0.212,-0.212,1349.1,23.3,-23.3,430.99,4903,117403.45,-34984.84,76.7,4283,-60,0.11199999999999999,-0.13699999999999998,15.76,4.978,-1.778,48.852016,10.523,FALSE POSITIVE
0,0,0,0,119.0624882,-0.00014790000000000002,0.968,0.423,0.0589,-0.0589,5372.3,94.1,-94.1,10.4,366,3.51,-1.74,71.6,5697,-173,0.171,-0.19,0.92,0.25,-0.16699999999999998,39.078709,15.289000000000001,FALSE POSITIVE
0,0,0,0,5.670155713,-5.44e-06,1.2670000000000001,66.56,0.0608,-0.0608,536.7,19.6,-19.6,5.85,341,4.86,-1.33,37.3,3337,-57,0.10400000000000001,-0.127,0.183,0.08800000000000001,-0.038,41.442554,13.783,FALSE POSITIVE
0,0,0,0,16.15811112,-7.390000000000001e-05,1.8572,0.0984,0.187,-0.187,2319.8,68.1,-68.1,86.13,660,57.04,-10.68,52.8,5619,-156,0.03,-0.29100000000000004,0.8740000000000001,0.366,-0.067,48.045311,15.488,FALSE POSITIVE
0,0,0,0,1.187352427,-2.53e-07,1.222,0.026000000000000002,0.0139,-0.0139,20703.0,37.3,-37.3,67.35,2251,5334.23,-3101.3,717.4,6424,-247,0.18,-0.18,1.489,0.44299999999999995,-0.363,44.167885,13.623,FALSE POSITIVE
0,0,0,0,8.17242644,-2.68e-05,0.9259999999999999,0.017,0.141,-0.141,864.3,26.0,-26.0,3.29,858,45.45,-20.22,37.0,5705,-76,0.045,-0.113,0.905,0.121,-0.052000000000000005,38.922482,15.24,FALSE POSITIVE
0,0,0,0,4.298920099999999,-2.01e-05,0.972,0.032,0.131,-0.131,237.6,13.7,-13.7,2.12,1046,100.01,-78.24,20.0,5300,-71,0.132,-0.08800000000000001,0.986,0.124,-0.124,37.061321,14.613,FALSE POSITIVE
0,0,0,0,5.714817602999999,-1.25e-06,0.096,0.121,0.00573,-0.00573,12295.0,26.4,-26.4,9.29,943,154.76,-56.76,537.7,5695,-189,0.057999999999999996,-0.17300000000000001,0.8420000000000001,0.22399999999999998,-0.09,44.169540000000005,15.623,FALSE POSITIVE
0,0,0,0,2.83668931,-2.8199999999999998e-05,0.33,0.13,0.23,-0.23,166.1,15.7,-15.7,1.19,1242,558.76,-169.45,12.1,5831,-205,0.038,-0.212,0.9209999999999999,0.301,-0.094,41.77597,15.808,FALSE POSITIVE
0,0,0,0,2.624234833,-3.89e-07,0.7809999999999999,0.057,0.0316,-0.0316,2607.0,8.9,-8.9,5.11,1164,151.68,-68.35,361.1,5340,-106,0.033,-0.10400000000000001,0.899,0.105,-0.04,50.651610999999995,13.687000000000001,FALSE POSITIVE
0,0,0,0,30.5872153,-0.00013130000000000002,0.013000000000000001,0.424,0.0906,-0.0906,464.8,16.1,-16.1,2.32,621,16.21,-9.22,33.1,5944,-130,0.08,-0.12,1.082,0.18100000000000002,-0.111,44.264671,14.142999999999999,FALSE POSITIVE
0,0,0,0,3.1082511719999997,-1.59e-06,0.9,0.012,0.0646,-0.0646,1867.7,15.5,-15.5,4.43,1096,180.7,-99.18,156.5,5330,-143,0.085,-0.114,0.847,0.141,-0.094,46.207569,15.360999999999999,FALSE POSITIVE
0,0,0,0,40.715561,-0.0002096,0.008,0.40700000000000003,0.131,-0.131,680.9,25.2,-25.2,2.7,578,23.94,-8.05,28.9,6297,-225,0.052000000000000005,-0.20800000000000002,1.031,0.32,-0.107,46.264721,15.083,FALSE POSITIVE
0,0,0,0,6.50327035,-3.13e-05,0.08,0.375,0.131,-0.131,418.3,24.1,-24.1,1.67,804,16.62,-18.82,19.0,4999,-79,0.075,-0.03,0.843,0.04,-0.06,47.157348999999996,15.692,FALSE POSITIVE
0,0,0,0,4.09667624,-1.9600000000000002e-05,0.142,0.32,0.122,-0.122,302.3,20.4,-20.4,1.42,938,30.76,-34.85,16.2,4999,-79,0.075,-0.03,0.843,0.04,-0.06,47.157348999999996,15.692,FALSE POSITIVE
0,0,0,0,22.65117451,-1.47e-05,0.925,0.003,0.0364,-0.0364,2250.0,17.5,-17.5,7.62,855,144.35,-44.3,170.1,6968,-267,0.057999999999999996,-0.23199999999999998,1.3330000000000002,0.513,-0.171,39.781631,13.682,FALSE POSITIVE
0,0,0,0,7.71790675,-4.49e-05,0.11199999999999999,0.34700000000000003,0.14800000000000002,-0.14800000000000002,306.8,29.2,-29.2,0.9,502,3.53,-3.2,12.6,3975,-87,0.031,-0.038,0.509,0.037000000000000005,-0.037000000000000005,47.188148,15.232999999999999,FALSE POSITIVE
0,1,0,0,6.8108237229999995,-1.01e-06,0.57,0.011000000000000001,0.00861,-0.00861,14447.0,12.0,-12.0,26.06,1626,1245.3,-1094.83,1441.9,7226,-304,0.315,-0.135,2.079,0.507,-0.76,47.377781,12.628,FALSE POSITIVE
0,0,0,0,64.617518,-0.00019380000000000002,0.9,0.018000000000000002,0.235,-0.235,2486.6,50.2,-50.2,5.4,383,1.94,-1.53,61.9,5043,-149,0.10400000000000001,-0.095,0.8809999999999999,0.09,-0.099,47.486431,15.332,FALSE POSITIVE
0,0,0,0,51.59809554,-4.6299999999999994e-05,0.251,0.15,0.0363,-0.0363,5869.2,87.1,-87.1,6.57,449,8.34,-2.57,79.7,5681,-169,0.034,-0.195,0.8590000000000001,0.248,-0.078,38.402321,15.617,FALSE POSITIVE
0,0,0,0,21.76129812,-1.73e-05,0.12300000000000001,0.28800000000000003,0.026000000000000002,-0.026000000000000002,1300.7,26.8,-26.8,2.53,486,3.0,-1.98,60.0,4859,-97,0.015,-0.045,0.72,0.047,-0.028999999999999998,36.74361,12.559000000000001,FALSE POSITIVE
0,0,0,0,12.71379418,-2.6e-07,0.485,0.081,0.0037799999999999995,-0.0037799999999999995,36719.0,12.0,-12.0,2.31,181,0.0,0.0,2981.3,2661,0,0.0,0.0,0.11599999999999999,0.0,0.0,46.957085,13.102,FALSE POSITIVE
0,0,0,0,7.0539344879999994,-7.69e-06,0.899,0.003,0.0315,-0.0315,511.5,10.6,-10.6,2.36,840,32.05,-24.79,56.3,5357,-107,0.057999999999999996,-0.065,0.863,0.073,-0.065,47.484798,13.915999999999999,FALSE POSITIVE
0,0,0,0,7.6746614,-2.3800000000000003e-05,0.9390000000000001,0.006999999999999999,0.0698,-0.0698,503.0,28.3,-28.3,2.8,957,191.59,-62.8,20.8,6063,-232,0.054000000000000006,-0.21600000000000003,1.001,0.318,-0.106,47.43882,15.44,FALSE POSITIVE
0,0,0,0,0.764017553,-3.77e-06,0.442,0.5,0.14300000000000002,-0.14300000000000002,128.2,13.0,-13.0,0.86,1589,649.53,-390.73,13.2,5142,-153,0.033,-0.083,0.755,0.09699999999999999,-0.065,42.681549,15.595999999999998,FALSE POSITIVE
0,0,0,0,20.51360192,-8.35e-05,0.703,0.017,0.0947,-0.0947,1174.1,41.1,-41.1,2.58,540,9.98,-5.61,32.3,5310,-185,0.045,-0.078,0.7040000000000001,0.1,-0.062,42.390419,15.405999999999999,FALSE POSITIVE
0,0,0,0,150.01895109999998,-0.0001744,1.252,67.03,0.0486,-0.0486,4319.7,46.8,-46.8,32.6,325,0.88,-0.62,106.2,5618,-112,0.081,-0.09,0.897,0.099,-0.081,48.777640999999996,14.232000000000001,FALSE POSITIVE
0,0,0,0,205.912735,-0.001169,0.196,0.228,0.153,-0.153,2378.8,53.9,-53.9,4.68,298,0.72,-0.34,49.4,5644,-84,0.051,-0.11,0.9690000000000001,0.142,-0.066,48.511082,15.530999999999999,FALSE POSITIVE
0,0,0,0,0.783276173,-1.27e-06,0.040999999999999995,0.4,0.0357,-0.0357,264.7,6.7,-6.7,1.98,2149,2049.01,-1766.17,46.9,5640,-76,0.162,-0.10800000000000001,1.2329999999999999,0.19,-0.21100000000000002,42.005909,15.005,FALSE POSITIVE
0,0,0,0,345.15893539999996,-0.000426,0.87,0.004,0.0644,-0.0644,5087.9,32.1,-32.1,7.79,241,0.34,-0.13,197.9,5597,-112,0.021,-0.11900000000000001,0.9309999999999999,0.136,-0.042,48.681938,13.46,FALSE POSITIVE
0,0,0,0,99.6442783,-0.00010729999999999999,0.966,0.028999999999999998,0.0643,-0.0643,3215.6,29.6,-29.6,8.48,415,2.77,-1.23,163.2,6102,-91,0.04,-0.12,1.016,0.153,-0.066,42.03537,13.75,FALSE POSITIVE
0,0,0,0,6.84639884,-1.92e-05,0.9,0.011000000000000001,0.0593,-0.0593,149.7,4.6,-4.6,1.9,1132,198.25,-130.26,36.3,6065,-133,0.125,-0.125,1.31,0.23800000000000002,-0.19399999999999998,48.374802,13.137,FALSE POSITIVE
0,0,0,0,3.0161820130000003,-9.75e-06,0.732,0.182,0.0793,-0.0793,222.5,8.1,-8.1,2.25,1449,459.93,-414.44,31.9,5611,-75,0.195,-0.105,1.4,0.231,-0.28300000000000003,42.822410999999995,14.878,FALSE POSITIVE
0,0,0,0,321.2124365,-0.00040360000000000005,0.873,0.035,0.165,-0.165,2358.6,33.2,-33.2,7.25,310,1.0,-0.76,81.7,6018,-120,0.13699999999999998,-0.11199999999999999,1.286,0.207,-0.207,42.261414,13.709000000000001,FALSE POSITIVE
0,0,0,0,15.19423359,-8.340000000000001e-05,0.9059999999999999,0.054000000000000006,0.125,-0.125,367.8,22.5,-22.5,3.69,893,61.93,-66.07,18.1,5588,-75,0.203,-0.087,1.5930000000000002,0.245,-0.368,44.878571,15.12,FALSE POSITIVE
0,0,0,0,162.04795019999997,-0.0001153,0.6629999999999999,0.015,0.046,-0.046,4840.5,15.1,-15.1,11.52,437,3.96,-3.12,370.2,6309,-82,0.14800000000000002,-0.121,1.567,0.281,-0.281,44.7943,13.632,FALSE POSITIVE
0,0,0,0,1.694740233,-1.28e-06,0.6709999999999999,0.001,0.0323,-0.0323,1446.8,18.0,-18.0,2.12,797,21.52,-20.22,92.3,3764,-83,0.033,-0.033,0.527,0.034,-0.038,45.614262,15.804,FALSE POSITIVE
0,0,0,0,22.79020351,-6.879999999999999e-05,0.036000000000000004,0.415,0.079,-0.079,617.9,13.9,-13.9,2.57,634,14.48,-11.44,47.7,5478,-74,0.132,-0.096,1.053,0.147,-0.147,45.071059999999996,14.765999999999998,FALSE POSITIVE
0,0,0,0,13.26079792,-9.8e-05,0.22,0.25,0.16899999999999998,-0.16899999999999998,199.4,12.4,-12.4,1.47,760,29.8,-23.55,17.6,5478,-74,0.132,-0.096,1.053,0.147,-0.147,45.071059999999996,14.765999999999998,FALSE POSITIVE
0,0,0,0,6.230335,-1.01e-05,0.8079999999999999,0.092,0.0514,-0.0514,1449.2,47.2,-47.2,3.7,875,87.09,-37.97,31.6,5477,-191,0.027000000000000003,-0.153,0.865,0.17300000000000001,-0.07400000000000001,45.25808,15.977,FALSE POSITIVE
0,0,0,0,6.247030799,-8.93e-06,0.039,0.355,0.0365,-0.0365,1496.6,38.5,-38.5,1.89,512,4.25,-4.11,44.8,3821,-84,0.048,-0.036000000000000004,0.48700000000000004,0.039,-0.047,45.972328000000005,15.369000000000002,FALSE POSITIVE
0,0,0,0,42.0370662,-0.00042780000000000004,0.672,0.002,0.22,-0.22,266.8,18.3,-18.3,1.66,527,14.52,-6.42,14.7,5823,-174,0.10099999999999999,-0.188,0.96,0.261,-0.14,39.550179,14.609000000000002,FALSE POSITIVE
0,0,0,0,21.0112068,-0.0002907,0.853,0.016,0.319,-0.319,163.6,17.0,-17.0,1.4,663,36.61,-16.2,10.2,5823,-174,0.10099999999999999,-0.188,0.96,0.261,-0.14,39.550179,14.609000000000002,FALSE POSITIVE
0,0,0,0,5.82348911,-1.3300000000000001e-05,0.877,0.05,0.0524,-0.0524,888.7,26.5,-26.5,3.0,955,170.06,-55.9,38.1,5774,-189,0.048,-0.192,0.8640000000000001,0.249,-0.083,45.739071,15.898,FALSE POSITIVE
0,0,0,0,8.75059775,-3.3600000000000004e-05,0.33,0.11699999999999999,0.0852,-0.0852,881.9,35.4,-35.4,2.27,682,20.05,-11.97,28.3,4942,-177,0.02,-0.075,0.779,0.078,-0.046,45.457390000000004,15.92,FALSE POSITIVE
0,0,0,0,49.4781446,-0.00020059999999999997,0.048,0.41,0.102,-0.102,496.6,28.0,-28.0,1.88,462,8.53,-2.82,20.4,5776,-155,0.035,-0.196,0.8490000000000001,0.23600000000000002,-0.079,44.992489,14.427,FALSE POSITIVE
0,0,0,0,14.53410833,-5.02e-05,0.7659999999999999,0.166,0.0799,-0.0799,510.6,17.5,-17.5,1.36,420,1.33,-1.54,32.5,3957,-87,0.042,-0.018000000000000002,0.5529999999999999,0.027000000000000003,-0.039,45.564609999999995,14.687999999999999,FALSE POSITIVE
0,0,0,0,13.73808249,-2e-05,0.9570000000000001,0.008,0.11599999999999999,-0.11599999999999999,660.7,14.0,-14.0,3.84,912,136.36,-69.46,68.4,6375,-209,0.149,-0.182,1.178,0.335,-0.223,42.01313,13.805,FALSE POSITIVE
0,1,0,0,2.380862632,-1.1599999999999999e-07,0.664,0.001,0.0033,-0.0033,32634.0,15.7,-15.7,21.65,1480,924.29,-493.38,2590.6,5821,-176,0.19,-0.19,1.129,0.313,-0.22699999999999998,48.448139000000005,13.802,FALSE POSITIVE
0,0,0,0,3.014330766,-5.5e-06,0.01,0.425,0.0414,-0.0414,975.3,19.7,-19.7,2.87,1124,254.9,-125.22,57.3,5209,-183,0.092,-0.138,0.953,0.198,-0.11599999999999999,42.187431,15.673,FALSE POSITIVE
0,0,0,0,5.644914153999999,-8.78e-06,0.445,0.037000000000000005,0.0433,-0.0433,1397.9,24.4,-24.4,2.66,744,27.67,-18.17,63.9,4769,-172,0.024,-0.06,0.7140000000000001,0.068,-0.049,42.94339,15.505,FALSE POSITIVE
0,0,0,0,13.35151248,-1.62e-05,0.573,0.026000000000000002,0.0464,-0.0464,3308.8,35.6,-35.6,4.44,585,9.65,-7.9,107.9,4843,-173,0.054000000000000006,-0.040999999999999995,0.754,0.062,-0.068,48.577782,15.825,FALSE POSITIVE
0,0,0,0,8.74292005,-3.3100000000000005e-05,0.025,0.41600000000000004,0.0846,-0.0846,779.5,28.2,-28.2,1.92,643,15.41,-10.13,30.7,4769,-172,0.024,-0.06,0.7140000000000001,0.068,-0.049,42.94339,15.505,FALSE POSITIVE
0,0,0,0,37.10114179999999,-0.00011870000000000001,0.41,0.473,0.0788,-0.0788,1357.5,27.4,-27.4,3.19,532,15.73,-6.0,55.2,5986,-215,0.06,-0.192,0.85,0.23399999999999999,-0.094,42.46244,15.229000000000001,FALSE POSITIVE
0,0,0,0,104.8205868,-0.00023290000000000002,0.9179999999999999,0.006,0.0878,-0.0878,3920.1,75.6,-75.6,6.45,376,3.94,-1.5,76.6,5986,-215,0.06,-0.192,0.85,0.23399999999999999,-0.094,42.46244,15.229000000000001,FALSE POSITIVE
0,0,0,0,34.296636299999996,-0.0002287,0.711,0.034,0.267,-0.267,696.6,11.9,-11.9,3.29,584,11.53,-9.73,66.7,5490,-74,0.174,-0.11599999999999999,1.167,0.182,-0.20199999999999999,48.204479,14.965,FALSE POSITIVE
0,0,0,0,9.97716876,-8.02e-05,0.002,0.44799999999999995,0.22,-0.22,252.9,12.7,-12.7,2.53,1028,111.06,-125.08,21.8,5557,-72,0.21,-0.09,1.6159999999999999,0.254,-0.413,39.921371,14.943,FALSE POSITIVE
0,0,0,0,105.0145774,-0.00048520000000000003,0.9540000000000001,0.046,0.317,-0.317,296.0,9.8,-9.8,2.29,406,2.52,-1.88,33.9,5868,-117,0.115,-0.10300000000000001,1.042,0.14400000000000002,-0.129,46.675282,12.9,FALSE POSITIVE
0,0,0,0,16.00460392,-5.9999999999999995e-05,0.49,0.04,0.0887,-0.0887,831.9,28.2,-28.2,2.24,583,12.98,-6.54,34.3,5180,-155,0.026000000000000002,-0.09699999999999999,0.769,0.111,-0.055999999999999994,46.605919,15.554,FALSE POSITIVE
0,0,0,0,59.6585348,-0.0005577999999999999,0.956,0.003,0.353,-0.353,1043.8,55.8,-55.8,3.59,393,1.41,-0.81,21.2,5243,-73,0.027999999999999997,-0.077,0.831,0.069,-0.04,46.989761,15.742,FALSE POSITIVE
0,0,0,0,8.19596647,-4e-05,0.252,0.198,0.13,-0.13,792.8,45.9,-45.9,2.04,672,14.22,-13.82,20.2,4723,-167,0.063,-0.032,0.747,0.046,-0.069,50.077171,15.857999999999999,FALSE POSITIVE
0,0,0,0,2.42150341,-1.6e-05,0.55,0.402,0.16699999999999998,-0.16699999999999998,171.5,12.6,-12.6,1.62,1532,1132.86,-447.17,15.8,6213,-259,0.06,-0.192,1.195,0.35100000000000003,-0.14,46.320679,15.776,FALSE POSITIVE
0,0,0,0,20.6654374,-0.0001785,0.05,0.41700000000000004,0.21,-0.21,100.4,8.4,-8.4,0.66,487,2.41,-2.34,13.6,4830,-96,0.042,-0.021,0.6759999999999999,0.03,-0.037000000000000005,39.346378,11.759,FALSE POSITIVE
0,0,0,0,69.8347983,-0.0003061,0.672,0.233,0.10800000000000001,-0.10800000000000001,266.6,6.6,-6.6,3.51,765,63.22,-38.95,46.8,7732,-322,0.135,-0.165,2.022,0.5329999999999999,-0.436,42.888859000000004,12.02,FALSE POSITIVE
0,0,0,0,5.93919041,-3.06e-05,0.107,0.337,0.115,-0.115,424.5,29.1,-29.1,3.7,1357,344.85,-346.87,15.9,6068,-82,0.182,-0.11199999999999999,1.797,0.295,-0.406,41.952431,15.767000000000001,FALSE POSITIVE
0,0,0,0,4.16787814,-1.07e-05,0.168,0.271,0.0649,-0.0649,168.1,5.9,-5.9,1.07,962,51.07,-27.58,32.9,5251,-84,0.027999999999999997,-0.083,0.847,0.075,-0.034,39.44688,13.293,FALSE POSITIVE
0,0,0,0,11.30507984,-6.929999999999999e-05,0.195,0.264,0.157,-0.157,278.4,16.4,-16.4,1.4,744,58.79,-20.24,19.5,5705,-186,0.034,-0.195,0.8440000000000001,0.233,-0.078,45.388409,15.152000000000001,FALSE POSITIVE
0,0,0,0,12.68173393,-6.76e-06,0.929,0.41,0.0283,-0.0283,5879.1,72.5,-72.5,7.25,601,10.18,-8.61,102.8,4976,-136,0.071,-0.044000000000000004,0.701,0.065,-0.07200000000000001,50.256592,15.302999999999999,FALSE POSITIVE
0,1,0,0,3.479425638,-2.85e-06,0.612,0.066,0.0884,-0.0884,19550.0,206.0,-206.0,12.86,1166,360.82,-119.01,123.3,5907,-175,0.062,-0.188,0.878,0.248,-0.083,40.599059999999994,14.040999999999999,FALSE POSITIVE
0,0,0,0,24.81097206,-1.93e-05,0.039,0.35,0.0297,-0.0297,2090.8,18.5,-18.5,4.22,631,35.14,-11.15,123.9,6086,-200,0.052000000000000005,-0.221,0.9209999999999999,0.28800000000000003,-0.096,40.138611,14.373,FALSE POSITIVE
0,0,0,0,7.136922,-1.63e-05,0.07200000000000001,0.321,0.0496,-0.0496,221.6,10.6,-10.6,1.38,956,184.99,-58.72,23.7,6086,-200,0.052000000000000005,-0.221,0.9209999999999999,0.28800000000000003,-0.096,40.138611,14.373,FALSE POSITIVE
0,0,0,0,3.72020708,-1.76e-05,0.341,0.10400000000000001,0.11800000000000001,-0.11800000000000001,156.9,12.2,-12.2,0.99,954,69.88,-57.88,15.0,5017,-151,0.08800000000000001,-0.08800000000000001,0.797,0.078,-0.086,48.55941,14.293,FALSE POSITIVE
0,0,0,0,5.83393857,-2.24e-05,0.39799999999999996,0.045,0.0845,-0.0845,134.4,8.1,-8.1,1.98,1285,178.64,-128.56,17.6,5597,-101,0.054000000000000006,-0.045,1.699,0.147,-0.12300000000000001,46.96513,14.6,FALSE POSITIVE
0,0,0,0,6.33027476,-7.170000000000001e-05,0.3288,0.1072,0.27699999999999997,-0.27699999999999997,89.2,9.8,-9.8,1.02,1046,316.95,-100.51,9.8,5900,-188,0.114,-0.25,1.07,0.4,-0.153,48.775459000000005,14.167,FALSE POSITIVE
0,0,0,0,4.04355245,-1.26e-05,0.9840000000000001,0.049,0.16,-0.16,416.2,22.0,-22.0,1.75,613,8.66,-5.82,21.2,3871,-84,0.021,-0.053,0.532,0.042,-0.027000000000000003,49.142609,14.963,FALSE POSITIVE
